non_poi_variant,removed_non_poi,poi_feature_count,poi_features,features,feature_list,mae,r2,elapsed_seconds
no_humidity_evening_peak,humidity|is_evening_peak,2,poi_food_beverage_count|poi_food_beverage_ratio,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_food_beverage_ratio,0.1288172229427311,0.5088986786513947,5.365162599999167
all_non_poi,,2,poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_ratio|poi_business_residential_ratio,0.1286408302288951,0.5088785286541542,4.213997599999857
all_non_poi,,3,poi_business_residential_count|poi_lifestyle_ratio|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12866500083811494,0.5088563306657236,4.348293600000034
no_evening_peak,is_evening_peak,2,poi_food_beverage_count|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_food_beverage_ratio,0.12880633549006046,0.5088387508948822,5.392242400001123
no_evening_peak,is_evening_peak,2,poi_lifestyle_services_count|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_services_count|poi_food_beverage_ratio,0.12882897285827904,0.5088113190125001,5.51879370000097
no_evening_peak,is_evening_peak,3,poi_lifestyle_services_count|poi_food_beverage_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_services_count|poi_food_beverage_count|poi_food_beverage_ratio,0.12878338563269429,0.5087833769240118,4.6644118999975035
no_evening_peak,is_evening_peak,3,poi_total_count|poi_food_beverage_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_food_beverage_count|poi_food_beverage_ratio,0.12883676322735835,0.5087804196426747,6.30502659999911
no_evening_peak,is_evening_peak,1,poi_lifestyle_ratio,14,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_ratio,0.12873008813508233,0.5087804058575741,5.209801400000288
all_non_poi,,3,poi_total_count|poi_business_residential_count|poi_food_beverage_count,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_food_beverage_count,0.12889898391320745,0.5087803942116271,4.236675000000105
no_evening_peak,is_evening_peak,2,poi_food_beverage_count|poi_lifestyle_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_lifestyle_ratio,0.128748014954633,0.5087391687457115,5.199182100001053
