stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
optuna,3,validation,120.0,9948,0.24625713515464295,0.050438130048803806,0.20481895891922075,0.8691601527385224,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,4,validation,5.0,10033,0.24673761397355856,0.02746960382774374,0.11133123720118125,0.9636906202197367,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,10.0,10226,0.24492056776600468,0.03048417110709568,0.12446554156374501,0.9444477606227779,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,15.0,10050,0.24787172644001382,0.030991245188909278,0.12502936754430244,0.9518918099234024,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,20.0,10014,0.24464012772246985,0.03225287127304635,0.13183802499332972,0.9480035238210087,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,30.0,10182,0.24292622524049884,0.036108468117489766,0.14863964597376056,0.9344969120959239,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,45.0,10105,0.24047493207258544,0.03966596802804126,0.16494845298913902,0.9175726033040041,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,60.0,10084,0.24538690556167989,0.04497826095898353,0.18329527753744748,0.9014123703082485,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,90.0,9989,0.23830317805463633,0.05187750135497427,0.21769538190162196,0.8789743756860028,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,4,validation,120.0,9948,0.24625713515464295,0.05817852173945069,0.23625111086798,0.8614814227727858,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,5,validation,5.0,10033,0.24673761397355856,0.01860693870716611,0.07541184502643407,0.9702592754077944,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,10.0,10226,0.24492056776600468,0.022769431291364935,0.09296659524780575,0.9499705526615321,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,15.0,10050,0.24787172644001382,0.02319512387922339,0.09357712641274851,0.9583982259152349,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,20.0,10014,0.24464012772246985,0.024384525340698498,0.09967508424603726,0.953502686586568,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,30.0,10182,0.24292622524049884,0.028030047155203068,0.11538501916560513,0.9404964959240596,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,45.0,10105,0.24047493207258544,0.03201570817797255,0.133135324759376,0.9224414072016235,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,60.0,10084,0.24538690556167989,0.03767658665612577,0.15353951576953836,0.9058003905589326,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,90.0,9989,0.23830317805463633,0.04452922989320261,0.18685957214969787,0.8833022601453074,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,5,validation,120.0,9948,0.24625713515464295,0.050576533544102326,0.20538098728526832,0.8677583535480033,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,6,validation,5.0,10033,0.24673761397355856,0.014418899053842384,0.05843818792617316,0.9716065150679754,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,10.0,10226,0.24492056776600468,0.01880160651610752,0.0767661396819496,0.9498286163659867,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,15.0,10050,0.24787172644001382,0.019716920679257448,0.0795448555687897,0.957651611280185,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,20.0,10014,0.24464012772246985,0.02108751320325162,0.08619809595249309,0.9544324773461111,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,30.0,10182,0.24292622524049884,0.02559784717164131,0.10537292606551328,0.9403143138350619,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,45.0,10105,0.24047493207258544,0.03043203308953683,0.12654971072141175,0.9250802278069067,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,60.0,10084,0.24538690556167989,0.03621840786558557,0.14759714982624367,0.9092977440518766,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,90.0,9989,0.23830317805463633,0.04398602742726526,0.1845801125538514,0.8859229507481129,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,6,validation,120.0,9948,0.24625713515464295,0.05081326556459511,0.2063423077373402,0.8724906178899148,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,7,validation,5.0,10033,0.24673761397355856,0.01877949688837684,0.07611120406793481,0.9695169415576179,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,10.0,10226,0.24492056776600468,0.02292920881237989,0.093618959900037,0.9495829512841149,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,15.0,10050,0.24787172644001382,0.02339973396475006,0.09440259403854562,0.9573070950788086,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,20.0,10014,0.24464012772246985,0.024533291635858042,0.1002831868355205,0.9531889075398182,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,30.0,10182,0.24292622524049884,0.028408976618386116,0.11694487324396947,0.9399903169277998,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,45.0,10105,0.24047493207258544,0.032235262776514166,0.13404832885776305,0.9215216433562647,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,60.0,10084,0.24538690556167989,0.03792398048706764,0.15454769438597918,0.9048167154987488,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,90.0,9989,0.23830317805463633,0.04455884312349627,0.18698383918858252,0.8821417747745889,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,7,validation,120.0,9948,0.24625713515464295,0.05035405932189847,0.20447756484407023,0.8672414473505119,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,8,validation,5.0,10033,0.24673761397355856,0.015903918902173818,0.06445680756189102,0.9710658372027192,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,8,validation,10.0,10226,0.24492056776600468,0.01991364310609685,0.08130653659566149,0.9500766836429273,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,8,validation,15.0,10050,0.24787172644001382,0.020525426147372107,0.08280664536517585,0.9587187646569943,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,8,validation,20.0,10014,0.24464012772246985,0.02231076994289797,0.09119832527314674,0.9537262318833832,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,8,validation,30.0,10182,0.24292622524049884,0.02674239260836993,0.11008441999991872,0.9401486814867102,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,8,validation,45.0,10105,0.24047493207258544,0.031221370085965573,0.12983211936844066,0.9235158698331354,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,8,validation,60.0,10084,0.24538690556167989,0.037091617342268846,0.15115565053223912,0.9078435717986114,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
