stage,trial,metric_scope,features,train_rows,eval_rows,mae,r2,elapsed_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage1,19,validation,52,485605,90631,0.0299469451289541,0.9291755024849786,13.565889399993466,300,6,0.02,0.85,0.85,5,0.01,5.0
stage1,74,validation,52,485605,90631,0.029964534511998344,0.9280749697985246,15.714794700004859,800,6,0.08,0.85,1.0,10,0.01,5.0
stage2,24,validation,52,485605,90631,0.02999493501921055,0.9289451702706617,11.921722900005989,300,9,0.015,0.8,1.0,5,0.001,5.0
stage1,79,validation,52,485605,90631,0.029999337641826246,0.9287387887776561,18.928678000025684,1200,5,0.06,1.0,0.7,3,1.0,5.0
stage1,25,validation,52,485605,90631,0.030001902247713538,0.9298473483696321,8.264917499996955,300,5,0.04,1.0,1.0,10,0.1,5.0
stage1,62,validation,52,485605,90631,0.030016592388537218,0.9282509284400469,17.305472600011854,800,5,0.06,0.7,0.85,1,0.01,5.0
stage1,40,validation,52,485605,90631,0.030085231587518423,0.9296378775001344,5.114112799987197,300,5,0.04,1.0,0.85,1,0.1,10.0
stage1,2,validation,52,485605,90631,0.030087950681549697,0.9294640598434966,51.57253689999925,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,54,validation,52,485605,90631,0.030114285388127722,0.929587198932989,10.550203499995405,500,5,0.02,0.85,1.0,10,0.1,1.0
stage1,1,validation,52,485605,90631,0.030127625509659663,0.929629445016741,75.67441430001054,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,7,validation,52,485605,90631,0.03019500019714686,0.9268771578936023,44.69458849998773,800,8,0.08,0.7,1.0,10,0.0,10.0
baseline,0,validation,52,485605,90631,0.03021420150397512,0.9281102067014226,33.50370990001829,500,5,0.04,0.85,0.85,1,0.0,1.0
stage1,76,validation,52,485605,90631,0.030255915832154732,0.9272526235488485,22.119135899993125,1200,5,0.08,0.7,1.0,3,0.01,10.0
stage2,5,validation,52,485605,90631,0.030291204735397873,0.929973359525317,9.833476800005883,300,7,0.015,0.85,0.9,10,0.001,8.0
stage1,8,validation,52,485605,90631,0.03030234879629215,0.9285918583884967,17.41579249998904,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,37,validation,52,485605,90631,0.030310528696468414,0.9262555248311177,26.689206600014586,800,8,0.08,0.85,0.85,1,0.01,3.0
stage1,48,validation,52,485605,90631,0.03031722339072698,0.9297959115718921,12.050140600011218,500,6,0.01,0.7,0.85,10,0.01,5.0
stage1,47,validation,52,485605,90631,0.030328621891064618,0.9282605033309332,9.21082629999728,500,5,0.04,0.7,0.7,3,0.1,1.0
stage1,75,validation,52,485605,90631,0.030331124535337203,0.9287554875916534,10.156603999988874,500,5,0.02,0.85,0.7,3,0.01,5.0
stage1,65,validation,52,485605,90631,0.030464319994956655,0.9283655091013876,17.394638199999463,1200,4,0.06,1.0,0.85,10,1.0,5.0
stage1,9,validation,52,485605,90631,0.030502306152069142,0.9280444552931885,29.49092149999342,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,22,validation,52,485605,90631,0.03060502223428302,0.9273672795107015,25.907453599997098,1200,4,0.04,1.0,0.7,3,0.01,1.0
stage1,33,validation,52,485605,90631,0.03065857014841766,0.9286213569486091,6.019528500008164,300,4,0.04,0.85,1.0,5,1.0,1.0
stage1,32,validation,52,485605,90631,0.030694668027306752,0.9283536922328647,9.533098100015195,500,4,0.06,0.7,0.7,1,0.1,3.0
stage1,12,validation,52,485605,90631,0.030698137905759315,0.9285274260252332,7.635891900019487,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,11,validation,52,485605,90631,0.030714310654818822,0.9282544755350831,12.573518700024579,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,31,validation,52,485605,90631,0.03071576843826822,0.9286879497461251,14.857777099998202,800,4,0.02,0.85,0.85,1,0.0,10.0
stage1,57,validation,52,485605,90631,0.030772214624836564,0.9282585291930637,4.713458000012906,300,4,0.06,1.0,1.0,1,1.0,3.0
stage1,28,validation,52,485605,90631,0.030828527894094158,0.9286758536598498,23.503061600000365,800,4,0.01,0.85,0.7,5,1.0,10.0
stage1,6,validation,52,485605,90631,0.030834985217731762,0.9281225922900899,21.63791359998868,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,21,validation,52,485605,90631,0.03084633553604214,0.9279219215250627,7.9244212999765296,300,4,0.08,0.85,0.7,5,0.1,3.0
stage1,23,validation,52,485605,90631,0.030863564857653066,0.9285482646303771,23.416669199999887,800,3,0.08,0.85,1.0,5,1.0,5.0
stage1,52,validation,52,485605,90631,0.030869451555753498,0.9283909332877165,17.62661149998894,1200,3,0.06,0.7,0.7,5,1.0,10.0
stage1,66,validation,52,485605,90631,0.03089082059139915,0.9266674376766156,19.108269999996992,1200,3,0.08,0.85,1.0,1,0.0,1.0
stage1,55,validation,52,485605,90631,0.030920113306482103,0.9291541548262154,11.30689059998258,500,5,0.01,0.85,0.7,10,0.01,10.0
stage1,43,validation,52,485605,90631,0.030932885927230546,0.9274207434820052,4.999506199994357,300,4,0.06,0.85,1.0,3,0.0,1.0
stage1,64,validation,52,485605,90631,0.0310049808048066,0.92801589552314,18.37198399999761,1200,3,0.06,0.85,0.85,5,0.1,10.0
stage1,60,validation,52,485605,90631,0.031095870298106,0.9277838100554279,15.636898500000825,1200,3,0.04,1.0,0.85,1,0.1,10.0
stage1,44,validation,52,485605,90631,0.031105404732514916,0.9282300989360397,17.429343099996913,1200,3,0.04,0.7,1.0,5,0.01,10.0
stage1,56,validation,52,485605,90631,0.031157222961819445,0.9282674749484133,5.281835700006923,300,4,0.02,1.0,0.85,1,0.01,3.0
stage1,53,validation,52,485605,90631,0.031186895641629443,0.928218512237026,5.664484800014179,300,4,0.02,0.85,0.7,3,0.1,3.0
stage1,42,validation,52,485605,90631,0.031237861494182822,0.9273985913694577,11.069785999978194,800,3,0.04,0.85,1.0,3,0.0,3.0
stage1,50,validation,52,485605,90631,0.03126703516304514,0.9282148502266812,18.073276900016936,1200,3,0.02,0.7,0.7,1,1.0,10.0
stage1,49,validation,52,485605,90631,0.03127603400392399,0.9280112835487421,7.255991100013489,500,3,0.04,0.85,1.0,10,0.1,3.0
stage1,30,validation,52,485605,90631,0.031305281066155426,0.9278109104281578,14.165329400013434,800,3,0.02,0.7,1.0,3,0.1,5.0
stage1,4,validation,52,485605,90631,0.03136870842777972,0.9274622194118824,28.863085099990712,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,72,validation,52,485605,90631,0.031449067981496215,0.9275360876249421,4.82374069999787,300,3,0.08,0.85,0.7,3,0.1,5.0
stage1,20,validation,52,485605,90631,0.03152286015410005,0.9265348817129112,26.791722399997525,1200,3,0.01,1.0,1.0,5,0.01,1.0
stage1,61,validation,52,485605,90631,0.03556245447033316,0.9256959635273199,11.114473699999508,300,8,0.01,0.7,0.85,1,0.01,5.0
stage1,68,validation,52,485605,90631,0.03608766021545914,0.9259357459547539,7.69978500000434,300,6,0.01,0.85,0.7,10,0.0,10.0
