stage,trial,metric_scope,features,train_rows,eval_rows,mae,r2,elapsed_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
optuna,60,validation,52,485605,90631,0.030749610326535916,0.9287427024555508,16.08590199999162,800,4,0.013477711580413752,0.65,0.75,7,0.01,0.5
optuna,37,validation,52,485605,90631,0.031121762343057496,0.9298468940919506,15.552353900013259,300,10,0.01272548058789172,0.75,0.85,7,0.05,15.0
optuna,5,validation,52,485605,90631,0.0312653557435694,0.9281969149100193,17.895636799978092,1200,3,0.02060492497082594,0.75,0.65,3,0.0,20.0
optuna,10,validation,52,485605,90631,0.03139912812860419,0.9277326672837115,8.69833590000053,500,3,0.024847842047952973,0.6,0.8,10,0.01,5.0
optuna,7,validation,52,485605,90631,0.03141503355358791,0.927463987943674,4.331230799987679,300,3,0.06016243801593678,1.0,0.85,5,0.01,10.0
optuna,30,validation,52,485605,90631,0.03161614882176723,0.9296540383593034,20.620524999976624,500,9,0.007401534480876443,0.85,0.9,12,0.5,3.0
optuna,9,validation,52,485605,90631,0.03196899805114063,0.9296007259288461,10.841910200018901,300,9,0.012038770175361676,0.65,0.85,10,0.001,3.0
optuna,1,validation,52,485605,90631,0.033282488151804804,0.9269681222213274,9.030684199999087,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,4,validation,52,485605,90631,0.039068111839510304,0.9226355016995393,12.741466000006767,500,6,0.005365098290336189,0.6,0.6,5,0.1,10.0
optuna,28,validation,52,485605,90631,0.05205621084624441,0.9049738158930134,13.532460300019011,300,9,0.006257012054484982,0.8,0.85,12,1.0,15.0
