stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage1,4,validation,10.0,10226,0.24492056776600468,0.023040549566197728,0.09407355934357665,0.9498413714085957,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,15.0,10050,0.24787172644001382,0.023525585736094062,0.09491032347244077,0.9576008069038213,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,20.0,10014,0.24464012772246985,0.02471092695854165,0.10100929552560885,0.9531186444418556,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,30.0,10182,0.24292622524049884,0.02836619845447332,0.11676877795466736,0.9400026140366669,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,45.0,10105,0.24047493207258544,0.03205481063955693,0.13329792990598055,0.9220533222314405,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,60.0,10084,0.24538690556167989,0.03774955192550992,0.1538368636219722,0.90524593424098,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,90.0,9989,0.23830317805463633,0.044343674239029095,0.18608091843769836,0.8821720044213153,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,4,validation,120.0,9948,0.24625713515464295,0.049667370359059264,0.2016890610209912,0.8659728491788237,1200,3,0.01,1.0,0.7,10,0.01,3.0
stage1,5,validation,5.0,10033,0.24673761397355856,0.015086686628021706,0.061144656402645034,0.9698008416874682,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,10.0,10226,0.24492056776600468,0.019476177437144113,0.07952038334220878,0.9480564651400043,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,15.0,10050,0.24787172644001382,0.02038423789106581,0.08223704326358051,0.9548514321215991,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,20.0,10014,0.24464012772246985,0.02174095960615688,0.08886914754565836,0.953695776873428,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,30.0,10182,0.24292622524049884,0.02634430575619667,0.10844570498765872,0.9376436076277694,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,45.0,10105,0.24047493207258544,0.03090555130686457,0.12851880668183732,0.9244535836941036,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,60.0,10084,0.24538690556167989,0.036619140997086685,0.1492302163119384,0.9082302701449736,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,90.0,9989,0.23830317805463633,0.044623504083188624,0.18725517824591364,0.8837264320174426,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,5,validation,120.0,9948,0.24625713515464295,0.051382248580012384,0.20865283171488896,0.8708610700564544,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,6,validation,5.0,10033,0.24673761397355856,0.016993900239972548,0.06887438022235914,0.9706977809900235,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,10.0,10226,0.24492056776600468,0.021495359813867628,0.08776461695288955,0.9492900289386366,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,15.0,10050,0.24787172644001382,0.022040508518040177,0.08891900998387603,0.9575875743740399,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,20.0,10014,0.24464012772246985,0.023235319176337803,0.09497754678536195,0.9532646750606428,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,30.0,10182,0.24292622524049884,0.027501133978330424,0.11320776071461239,0.9399823951121156,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,45.0,10105,0.24047493207258544,0.03202058146101155,0.13315559000281324,0.9220094624765401,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,60.0,10084,0.24538690556167989,0.037701835173388876,0.15364240845325886,0.9061958580910213,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,90.0,9989,0.23830317805463633,0.04534628768191316,0.19028822045972257,0.8820634152333497,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,6,validation,120.0,9948,0.24625713515464295,0.0516058205158701,0.20956071174734903,0.8701007360876957,800,3,0.08,0.85,0.85,3,1.0,3.0
stage1,7,validation,5.0,10033,0.24673761397355856,0.01587974213611735,0.06435882182851572,0.969230893443614,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,10.0,10226,0.24492056776600468,0.019957026257099122,0.08148366810976006,0.9477007433177662,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,15.0,10050,0.24787172644001382,0.021196012050811175,0.08551202008890964,0.9549855974537499,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,20.0,10014,0.24464012772246985,0.022146231831223835,0.09052575322535582,0.9537768785276048,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,30.0,10182,0.24292622524049884,0.026802266322535795,0.11033088871323524,0.9376965009808456,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,45.0,10105,0.24047493207258544,0.03164608704882492,0.1315982783572335,0.9223274241515038,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,60.0,10084,0.24538690556167989,0.03713978820076279,0.15135195627391543,0.9070565455955352,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,90.0,9989,0.23830317805463633,0.04494045155208452,0.1885851960471166,0.8812828808339244,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,7,validation,120.0,9948,0.24625713515464295,0.052502673175274295,0.2132026474778244,0.8660715622438115,800,8,0.08,0.7,1.0,10,0.0,10.0
stage1,8,validation,5.0,10033,0.24673761397355856,0.01647665415710098,0.06677803960148,0.970965411561519,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,10.0,10226,0.24492056776600468,0.020837981535322715,0.08508057010234914,0.949162525551949,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,15.0,10050,0.24787172644001382,0.02166015587246043,0.08738453628232704,0.9565803615480183,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,20.0,10014,0.24464012772246985,0.02273951451045182,0.09295087736484707,0.9536012039786438,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,30.0,10182,0.24292622524049884,0.026685518455463977,0.10985029890883584,0.9403123407529866,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,45.0,10105,0.24047493207258544,0.031271637865181764,0.13004115479172967,0.923611636842982,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,60.0,10084,0.24538690556167989,0.03740971504738529,0.15245196136996836,0.9069052002978999,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,90.0,9989,0.23830317805463633,0.04495882658686024,0.18866230385124125,0.8835521672249826,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,8,validation,120.0,9948,0.24625713515464295,0.05111474705843201,0.2075665625945551,0.8707913617805318,500,5,0.04,0.7,0.7,3,0.01,3.0
stage1,9,validation,5.0,10033,0.24673761397355856,0.016627258883111107,0.067388423740261,0.970552311139521,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,10.0,10226,0.24492056776600468,0.021111855870912397,0.0861987870740301,0.9490483772030402,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,15.0,10050,0.24787172644001382,0.021852729736375608,0.08816144564057037,0.9560877919725749,1200,4,0.04,0.7,0.85,10,0.01,1.0
