neighbor_scenario,neighbor_feature_count,neighbor_features,features,feature_list,mae,r2,elapsed_seconds
radius_3000m,3,neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,0.1278326971359216,0.5139200564868829,5.299820700001874
radius_3000m,3,neighbor_avg_distance_m|neighbor_avg_station_occupancy|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_avg_station_occupancy|neighbor_avg_charge_count,0.12785832202214553,0.5138230305795373,5.273467600000004
radius_3000m,3,neighbor_max_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_max_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,0.1277623080945908,0.5137975658482601,5.395272300000215
radius_3000m,2,neighbor_max_station_occupancy|neighbor_avg_same_hour_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_max_station_occupancy|neighbor_avg_same_hour_occupancy,0.12785313120575048,0.513732860726092,4.78033829999913
radius_3000m,2,neighbor_max_station_occupancy|neighbor_avg_duration,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_max_station_occupancy|neighbor_avg_duration,0.12785972859619207,0.5137205073704201,5.551099000000249
radius_3000m,2,neighbor_count|neighbor_avg_charge_count,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_charge_count,0.1278981057693057,0.5137142790413758,5.066774099999748
radius_3000m,3,neighbor_count|neighbor_avg_distance_m|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_distance_m|neighbor_avg_charge_count,0.12798114673426697,0.5136562430492424,5.016871499999979
radius_3000m,3,neighbor_count|neighbor_avg_station_occupancy|neighbor_max_station_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_station_occupancy|neighbor_max_station_occupancy,0.12785912916528908,0.5136351603340696,5.080445300001884
radius_3000m,2,neighbor_count|neighbor_avg_peak_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_peak_occupancy,0.12779649721647898,0.5135724403119999,4.7263569999995525
radius_3000m,3,neighbor_count|neighbor_avg_distance_m|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_distance_m|neighbor_avg_duration,0.12795080534962083,0.513513995840157,4.922650199998316
radius_3000m,2,neighbor_avg_charge_count|neighbor_avg_same_hour_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_charge_count|neighbor_avg_same_hour_occupancy,0.12791147150573373,0.5134669180172204,4.676583900003607
radius_3000m,3,neighbor_avg_distance_m|neighbor_avg_duration|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_avg_duration|neighbor_avg_same_hour_occupancy,0.12790960000566046,0.5134526262653802,5.20498509999743
radius_3000m,3,neighbor_avg_station_occupancy|neighbor_avg_duration|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_avg_duration|neighbor_avg_charge_count,0.1279836926004523,0.5134245486985266,4.770641899998736
radius_3000m,2,neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,0.1279288548359983,0.5134075479411438,5.1599242000011145
radius_3000m,3,neighbor_avg_distance_m|neighbor_max_station_occupancy|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_max_station_occupancy|neighbor_avg_duration,0.12796880715280654,0.5133866095488473,4.948427200000879
radius_3000m,3,neighbor_avg_station_occupancy|neighbor_max_station_occupancy|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_max_station_occupancy|neighbor_avg_duration,0.12798710978373423,0.5133845031784554,4.962219500001083
radius_3000m,2,neighbor_count|neighbor_avg_same_hour_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_same_hour_occupancy,0.12786161797355486,0.5133801916652081,4.464100900000631
radius_3000m,2,neighbor_avg_station_occupancy|neighbor_avg_same_hour_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_avg_same_hour_occupancy,0.12797764457917668,0.5133738258878096,5.2637765999970725
radius_3000m,3,neighbor_avg_distance_m|neighbor_max_station_occupancy|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_max_station_occupancy|neighbor_avg_charge_count,0.12803366535197958,0.513371282788098,4.537199499998678
